연도,부처명,담당부서명,세부사업명,사업내용,훈련기관,훈련대상
2015,고용노동부,직업능력정책과,직업훈련교원 및 HRD담당자양성,"  우수한 직업능력개발담당자(훈련교사, 실천공학기술자, HRD담당자) 및 /직업능력개발 전문가 양성",한국기술교육대학교,"직업능력개발담당자양성(학부과정), /직업능력개발전문가양성(대학원과정), /신성장동력산업 학부과정, /한국기술대학교 8학기중 3학기 현장실습학기운영"
2015,고용노동부,청년고용기획과,청년취업아카데미 운영지원,  기업·사업주단체가 직접 산업현장에서 요구하는 맞춤형 교육과정을 제공하여 대학 /교과과정 개편 유도 및 청년고용 창출,청년취업아카데미,"대학(전문대 포함) 졸업예정자(수료 후 /6개월 이내 취업이 가능한 자), /졸업생(34세 이하), /일반고의 경우 졸업예정자만 가능"
2015,관세청,심사정책국,중소기업 AEO 공인획득 지원_교육비,  AEO공인획득을 통해 중소기업 대내외 경쟁력 향상할 수 있도록 공인획득 관련/교육 지원,(사)한국AEO진흥협회,공인을 획득·유지하고자 하는 중소기업
2015,교육부,산학협력과,1· 산학협력선도대학 육성 56개 대학/2· 대학창업교육체계 구축/3· 산학협력 활성화 지원/  _산업단지 캠퍼스 조성,"1· 산학협력 선도대학 육성사업: 교수업적평가에 산학협력 실적 반영 등 산학협력 /   친화형 대학체제 구축, 현장실습, 캡스톤디자인 등 산업체 수요 맞춤형 교육과 /   창업교육의 내실화, 기업연계 지원, 운영 등/2· 대학창업교육체제 구축: 대학을 중심으로 사회전반의 창업에 대한 관심을 제고/   하고, 제2의 창업붐 조성을 위한 창업교육 활성화 및 창업문화 확산/3· 산학협력 활성화 지원_산업단지 캠퍼스 조성: 산업단지 내에 일부 학과(학부)를/   이전시키는 산업단지 캠퍼스 조성을 위한 사업비 지원",1· 56개 대학/2· 대학(산학협력단)20개교 내외/3· 6개 대학,"56교 전문대생, 대학생"
2015,교육부,산학협력정책과,산학협력 선도 전문대학 육성,  지역(기업)과 연계한 다양한 산학협력 선도모델 창출·확산으로 산업체의 수요에 /부응하는 전문인력 양성과 기업 애로기술 지원,전문대학 30교 LINC사업단,30교 전문대학생
2015,교육부,전문대학정책과,신성장동력분야 전문대학원 육성,  향후 신성장동력분야 글로벌 경쟁력을 뒷받침할 고급 전문인력을 양성,"(녹색산업분야)충남대 녹색에너지기술/전문대학원,/(융합신산업분야)서울대 융합과학/기술 전문대학원,/(소프트파워분야)홍익대 국제/디자인 전문대학원",전문대학원생(석·박사급)
2015,교육부,전문대학정책과,특성화 전문대학 육성,"  전문대학 강점분야 중심 특성화를 통해 지식기반산업 및 창조경제의 역량있는 핵심/직업인재 양성, 국가직무능력표준(NCS)기반의 교육과정 개발·운영으로 전문 대학을 /산업계 수요중심의 교육체제로 개편 유도",86교(평생직업교육대학 8교),86교 전문대학생
2015,교육부,평생학습정책과,평생교육종사자양성연수/_평생교육양성연수 프로그램 개발 및/ 연수 운영,"  평생교육사, 평생교육 관계자, 평생교육 교·강사 등 평생교육 전문 인력 양성 연수 및/국내외 사례 보급",국가평생교육진흥원,"주무 부처, 대학, 시·도 지자체, /교육청 평생 교육관계자, 교원, /내외부 전문가 등"
2015,교육부,평생학습정책과,학습자 지원체제 구축 등/_학습진단 지원전문가 양성과정 개발,"  평생학습계좌제 관계 기관 컨설팅 및 연수, 학습이력의 진단·설계를 지원하는 /전문가(가칭 학습코디네이터) 양성을 위한 과정(입문 및 심화과정) 운영 및 기반 마련",국가평생교육진흥원,평생교육사 자격증 취득 후 최소 3~5년/이상 평생교육기관 근무 경력자 
2015,교육부,학술진흥과,번역인재양성사업/ _고전번역교육원운영,  고전문헌을 수집·정리·번역함으로써 한국학 연구의 기반을 구축하고 전통문화를 /계승·발전,"부설 고전번역교육원/(본원, 밀양, 전주)","4년제대학 재학생 이상, /고전번역연수 과정 졸업자,/4년제 대학 졸업 이상인 자, /번역자로 2년 이상 번역에 종사한 자,/기타 동등의 실력을 구비한 자 "
2015,국가보훈처,생활안정과,1· 취업수강료/2· 직업교육훈련 장려금/3· 국가유공자 재활프로그램 교육비,"  국가유공자 및 그 유가족 등에게 직업능력개발 지원으로 취업경쟁력을 제고하고, /맞춤형 취업지원을 통해 생활안정 및 자아실현 도모",공공·사립훈련기관,국가유공자 및 그 가족
2015,국가보훈처,제대군인취업과,1· 취·창업 역량강화를 위한 /   교육과정 운영 지원/ _소자본창업교육 과정 운영/2· 전직목표에 맞는 취업역량개발/   교육 지원/3· 대학 및 전문교육기관 위탁을 /  통한 맞춤형 교육 시행/4· 자기주도적 직업능력개발 훈련/  과정 _직업교육훈련바우처/5· 자기주도적 직업능력개발 /  훈련과정_사이버교육 강좌운영 ,"  국토방위의 임무를 성실히 수행하고 전역하는 중·장기복무 제대군인의 원활한 사회/복귀를 지원하기 위하여 직업교육훈련 실시/1· 소자본창업교육 과정 운영: 창업의 이해, 창업절차 및 관련 법규, 창업의 성공과/   실패 사례 중심의 기본소양교육 및 창업의 장단점을 균형 있게 소개하여 /  제대군인의 전역 후 무분별한 창업 방지 및 창업 후 위기관리 능력 배양/2· 전직목표에 맞는 취업역량개발 교육 지원: 전역예정자가 자신의 전직목표와 적성, /  특기에 맞는 직업교육훈련과정을 선택하여 훈련하는 자기 주도적 취·창업 능력/  강화 교육과정/3· 대학 및 전문교육기관 위탁을 통한 맞춤형 교육 시행: 제대군인 개인 및 지역/  특성에  맞고, 취업과 연계성이 높은 특화된 전문 교육과정을 대학 및 전문교육/  기관에 위탁 개설, 사회와 기업이 요구하는 직업능력 배양/4· 직업교육훈련 바우처: 제대군인이 스스로 자신의 전직목표 및 적성에 맞는 /  직업훈련 과정을 선택하여 훈련하는 자기 주도적 취·창업 능력 강화 교육과정/5· 사이버교육: 자격증시험, 채용시험, 외국어 과정 등의 교육과정을 온라인으로 /  제공하여, 시공간에 구애를 받지 않고, 취업 및 직무능력 배양",1· 보훈교육연구원/2· 정부 공인 직업교육훈련기관/3· 대학 및 전문교육기관/4· 정부 공인 직업교육훈련기관/5· KT이노에듀/,1· 소자본창업교육/  : 5년 이상 중장기 복무 제대(예정)군인/2· 전직목표에 맞는 취업역량개발 교육 지원/  : 중·장기 복무 전역예정자/3· 대학 및 전문기관 위탁교육/  : 5년 이상 중장기 복무 제대(예정)군인/4· 직업교육훈련 바우처/  : 전역 후 3년 이내 중·장기 복무 제대군인/   중 미취업자 또는 비정규직 /5· 제대군인 사이버교육/  : 5년 이상 중장기 복무 제대(예정)군인/
2015,국가인권위원회,정책교육국/인권교육운영팀,인권 연수과정 운영,"  인권감수성 향상과정 및 분야별 전문적 강사 양성과정 운영, 돌봄시설의 분야별 /맞춤 인권교육 콘텐츠 개발 및 전국단위의 인권강사 양성",인권교육센터,"군·경찰 대상, 아동분야, 노숙인분야, /노인분야, 다문화분야, 정보인권, /장애분야, 정신보건분야 강사양성"
2015,국민안전처,예방총괄과,재난관리 전문가 양성/1· 방재안전분야 전문인력 양성/2· 기업재해경감활동 전문인력 양성,1· 방재안전분야 전문인력 양성: 방재안전분야 전문인력 양성을 위해 대학원 내 전문/   학위 과정 개설·운영/2· 재난관리 전문가 양성: 기업의 재난(리스크)으로 인한 경영손실 최소화를 위해 석·/  박사급 전문인력 양성,1· 방재안전분야 특성화대학원(2개) /2· 기업재난관리 특성화대학원(1개),"대학생, 특성화 대학원생(석·박사급)"
2015,국토교통부,공간정보기획과,공간정보 인력양성 지원/1· 공간정보 융복합 핵심인재/  (석·박사) 지원/2· 공간정보 특성화고등학교 육성/ _공간정보 특성화고 지원/3· 공간정보 온라인 교육,"  ICT 기술과 공간정보를 융·복합하는 기술이 확대됨에 따라 공간정보를 기본으로 한 /시스템 구축, 서비스등 산업계의 창의인재 수요에 부응할 수 있는 인력양성/1· 융·복합 핵심인재 양성: 공간정보 분야를 리드하고 발전시킬수 있는 인재양성을 /   위해 특성화대학원을 지정하고 공간정보 분야연구하는 석·박사 장학(연구)지원/2· 공간정보특성화 고등학교: 공간정보와 ICT기술의 융복합된 산업현장에서 요구하는 /  현장형 인력양성을 위해 고등학생부터 인재양성/3· 공간정보온라인 교육: 학생, 재직자, 공간정보분야에 관심있는 모든 사람이 공간/   정보를 쉽게 공부하고 접할 수 있는 온라인교육 시스템 운영",1· 공간정보 융복합특성화대학원/   11개/2· 공간정보 특성화고등학교 3개/3· 공간정보중앙교육센터/  (NECGIS 홈페이지),"1· 공간정보 융·복합 핵심인재 양성/ : 특성화대학원 사업책임자, 산업체 CEO /   추천 받은자로 장학생 선발평가 최종/   합격자/2· 공간정보 특성화고등학교 육성/ : 특성화고의 자체적인 결정/3· 공간정보 온라인교육/ : NECGIS 홈페이지 회원 및 교육 희망자"
2015,국토교통부,교통안전복지과,장애인 복지사업 등/ _교통사고상담사 육성교육,"  교통장애인이 교통안전 계몽과 홍보활동을 하도록 지원, 교통사고 후 피해자 대상 /상담실 운영",한국교통장애인협회,"교통장애인(교통사고로 인해 신체일부를 /손상, 후유장애를 겪고 있는 사람) 등"
2015,국토교통부,기술정책과,설계 엔지니어링 및 글로벌 표준화/기술/ _글로벌 건설 엔지니어링 고급 인력/  양성,"  해외 건설사업 초기단계 고부가가치 역량강화 및 생애주기 기반 Total Solution /Service를 제공할 수 있는 글로벌 건설 엔지니어링 고급인력(석사급) 양성/ · 기획/타당성 검토, 프로젝트관리, 개념/기본설계 등 해외 건설사업초기단계 고부가/   가치 창출을 위한 인재 양성 및 배출(연간 50명 이상)","서울시립대학교, 중앙대학교",국내·외 정규대학 학사학위 취득자로서 /해외 건설 관련학과 전공자 또는 관련/분야종사자/(해외건설 실무경력자 등 우대)
2015,국토교통부,녹색건축과,녹색건축센터 운영지원/_녹색건축 전문인력 양성,"  지속적으로 증가하는 녹색건축인증 수요에 대응하기 위하여 설계단계에서 /전문가들이 참여할 수 있도록 녹색건축전문가(A·P·, Accredited Professional)를 /교육하고 양성하는 사업/ · 녹색건축전문가 양성 : 건축분야 일정 기간 이상 경력자 중 녹색건축 관련 지식,/  기술 및 인증 관련 교육을 통한 녹색건축 설계 참여 전문가 양성 ",한국건설기술연구원,"일정 경력 이상 녹색 건축분야 재직자, /취업 희망자"
2015,국토교통부,도시재생과,U·City 석·박사과정,"  U·City 전공 석·박사 학위자 배출로 산업 내 고급인력 수요를 충족하고, U·City /특성화교육으로 전문역량 제고","건국대, 성균관대, 연세대, KAIST",U·City 석박사 과정(U·City 학과 또는 /관련학과 내 U·City 전문 트랙) 지원 학생
2015,국토교통부,물류정책과,1· 글로벌물류인력양성/2· 물류기능인력양성,"  국제물류 환경의 변화에 능동적으로 대응할 수 있는 물류 전문지식과 글로벌 /마인드를 갖춘 물류전문인력 양성/1· 글로벌물류인력양성 : 물류특화 대학(원)을 선정하여 글로벌 역량, 물류·유통·무역 /   등 융합형 인력양성, 첨단기술 활용능력 제고 등 특화된 교육프로그램 운영 지원 /2· 물류특화 고교 및 전문대를 선정하여 현장실습·견학, 현장전문가 특강, 물류장비 및 /  실습 기자재 구입, 장학금 지원 등 실습중심의 교육프로그램 운영 지원","1· 대학교 6개교( 한국해양대, 군산대,/   대전대, 순천대, 인하대, /   한국항공대,)/2· 전문대 2개교(장안대, 인천재능대), /   6개 고교(경기물류고, 경기상업고, /   영종국제물류고, 부산항만물류고,/   한국항만물류고, 서일국제경영고)",재학생
2015,국토교통부,철도정책과,1· 철도특성화 대학원/2· 철도특성화 대학/3· 국제철도 전문가과정,  세계 최고 수준의 철도기술을 확보하고 철도산업의 해외진출 지원을 위한 글로벌 /전문인력양성이 시급함에 따라 철도핵심인력양성 교육 실시/1· 철도특성화 대학원 : 철도산업 각 분야별 예비인력(대학원생 포함) 및 산업계/   종사자를 대상으로 철도기술분야 및 해외진출분야의 전문인력 양성/2· 철도특성화 대학 : 철도분야 관심 있는 우수한 학부생을 대상으로 실용적 지식과 /   실무를겸비한 철도 전문인력 양성 /3· 국제철도 전문가 : 철도 유관기관 및 기업체 종사하는 재직자를 대상으로 신기술/   및 해외진출 역량 강화를 위한 교육 실시,"1· KAIST, 서울과기대, 한국교통대,/  우송대/2· 선정중('15·06 기준)/3· 한국철도협회","1· 철도특성화 대학원/ : 철도 해외진출 희망 대학원생, 산업계/   종사자/2· 철도특성화 대학/ : 철도 해외진출에 관심 있는 졸업예정자/3· 국제철도 전문가/ : 해외진출 희망 기업의 실무자, /   임원 (재직자)"
2015,국토교통부,항공자격과,"1· 항공조종사 양성을 위한 훈련/   사업자 지원 및 취업활성화 등을 /   위한 교육 역량 강화 프로그램 /   운영 등/ _취업활성화를 위한 추가 교육과정, /   조정인턴십 및 제트교육과정 지원/2· 석·박사급 항공기술인력 및 국제/   항공전문가 양성을 위한 항공/   특성화대학원 지원/3· 국내·외 항공 기계· 전자· 정비산업 /   분야 등의 맞춤형 인재 양성기반 /   마련/ _ 항공 기초 인력 양성을 위한 항공 /  특성화고 지원","  항공우주기술인력, 국제항공전문가, 항공조종인력 및 항공기초인력 등을 체계적/으로 양성하여 항공인력 저변 확대 및 일자리 창출","(2014년 기준)/1· 항공대, 항공전문학교 /2· 경상대,서울대,인하대,항공대,/  한서·인천대 컨소시엄 ","울진비행교육훈련원 수료생 중 추가교육/과정 지원자, 항공특성화대학 석·박사/과정, 고교 재학생 이상자로 소정의 자격 /기준을 갖춘 항공분야에 관심이 있는 자"
2015,국토교통부,해외건설정책과,해외건설현장훈련지원,  중소업체에서 신규 인력을 채용하여 해외건설현장으로 보낼 경우 훈련비를 지원/하여 인력난 해소·해외공사 적기 수행 지원,해외건설협회,"중소, 중견건설업체 신규인력/(업체에서 자체적으로 선발, 480명 대상)"
2015,금융위원회,금융소비자과,금융교육 전임강사 육성,"  금융소비자보호를 위한 법·제도적 기반 마련과 함께, 금융교육 등을 통해 /금융소비자 역량을 강화",민간 위탁기관,"금융계 은퇴자, 금융 관련학과 졸업생"
2015,금융위원회,기업지원부,1· 희망창업아카데미/2· 기업연수,"1· 희망창업아카데미/  창조적 아이디어와 우수한 기술을 가진 예비창업자의 사업화를 지원하고, 창업 /  이후 겪게 되는 다양한 문제점에 대비하여 창업기업의 경영이 안정궤도에 진입할/  수 있도록 창업교육 제공 /  · 희망창업아카데미: 예비창업자 및 창업초기 기업가를 대상으로 사업계획서 작성, /    창업세무회계, 창업성장멘토링 등 실무중심의 맞춤형 창업교육   /2· 기업연수 (집합연수, 핵심직무교육과정, CEO연수)","1· 신용보증기금/2· 한국능률협회컨설팅, /   신용보증기금",1· 희망창업아카데미/ : 예비 및 초기창업자(20세이상)/2· 기업연수/  ① 집합연수: 중소기업임직원 /  ② 핵심직무교육과정: 중소기업 임직원/  ③ CEO연수: 중소기업 CEO
2015,금융위원회,창업성장부//회생관리부,1· (신규) 벤처창업교실/2· 새싹기업 창업강좌/3· 도약기업 전문강좌/4· 재기기업인 전문강좌,"1· 벤처창업교실 : 기술사업을 준비중인 예비창업자에게 창업실무내용 교육/  (기술사업계획서작성, 세무·회계, 지식재산권, 마케팅 등)/2· 새싹기업창업강좌 : 창업후 2년이내 창업기업 CEO에게 창업실무내용 교육 /  (CEO특강, 세무·회계, 인사·노무, 기보지원제도 등) /3· 도약기업전문강좌 : 창업후 성장·도약세에 있는 기업 CEO에게 고급전문 교육/  (경영전략시뮬레이션, 명사특강, 교양특강 등)/4· 재기기업인 전문강좌 : 인사·노무 관리, 세무·회계 실무 등의 전문지식과 재기지원 /  보증 성공기업 사례 및 중소기업 지원정책 소개 등을 통한 재기기업의 /  성공 재도약유도",기술보증기금,1· 벤처창업교실/ : 기술창업을 준비중인 예비창업자/2· 새싹기업 창업강좌/ : 기보 보증거래 (1억원이하) 중인 창업 후/  2년이내 창업기업의 CEO /3· 도약기업 전문강좌/ : 기보 보증거래 중인 창업후 2년 초과 /  5년이내 도약기업의 CEO/4· 재기기업인 전문강좌/ : 기보 재기지원 보증기업의 CEO
2015,농림축산식품부,경영인력과,교육인프라구축(H/W)/1· 농업교육지원/2· 교육프로그램 운영(S/W),"  농업인 수준별 맞춤형, 현장실습중심의 전문교육을 통해 전문농업경영체를 육성/하고 젊은 후계인력 양성","(2014년 기준)민간교육기관 63개, /9개도 농업마이스터대학 30개/캠퍼스, 현장실습교육장 105개,/농고·농대30개","교육희망 농업인, 농고·농대생"
2015,농림축산식품부,국립농산물/품질관리원 /인증관리팀,술 품질인증/ _우리술 교육훈련 교육지원 사업/ _우리술 전문인력양성기관 /  교육지원 사업,"  친환경농산물, GAP, 우리술, 우수식품, 학교급식 식재료 품질관리 등의 안전성과 /우수성을 알리고 좋은 농식품을 국민들에게 제공","(사)수을전통술교육관, /막걸리학교,/수수보리아카데미, /한국가양주연구소, /(사)한국전통음식연구소, /전통주연구개발원,/(사)한국바텐더협회, /(사)한국전통주연구소,/진향우리술교육원","전통주에 관심있는 일반인, 대학생,/직장인, 주부, 외국인 등"
2015,농림축산식품부,국제협력총괄과,전문인력양성 교육,  해외농업개발사업 진출을 희망하는 민간 기업 및 영농인 등을 위하여 해외농업/개발에 대한 이해와 전문성 강화를 위한 정부주도의 인력양성교육/  ①기초인력양성교육 : 해외농업 신규진출을 희망하는 민간기업 및 농업인 등을 /    대상으로 해외농업개발 기초이론 및 지원제도 등의 이해를 돕기 위한 소양교육/  ②영농전문가교육 : 해외농업 영농진출을 위한 시장조사와 사업계획수립을 위한 /    교육과 해외 대규모 농장경영을 위한 관리자 양성 및 해외선진영농연수교육/  ③해외인턴 : 민간기업의 고용승계를 조건으로 신청 할 경우 교육생을 모집하여/    일정 과정교육 후 민간에 승계,(사)해외농업개발협회,"① 기초인력양성교육/   :해외농업개발 희망 영농인, 기업인,/    학생 등/② 영농전문가양성과정/   :해외농업진출희망자, 해외농업진출추진/   기업 (임직원)/③ 해외인턴: 만 20세이상/해외농업진출/    희망자"
2015,농림축산식품부,기후변화대응과,저탄소 농축산물 인증제/ _인증심사원 양성 및 농가 교육,  농림축산식품 부문 온실가스 감축 및 저탄소 녹색농업 기술 확대 보급 유도,한국표준협회,"지자체 담당자, /탄소 관련 컨설팅(검증)전문가, /탄소관련 연구자 및 농산물 유통인 등"
2015,농림축산식품부,농식품공무원/교육원 /운영지원과,농업인 및 소비자교육,"  교육발전 연구, 농식품분야 공무원 기본·개인역량과 전문 시책교육 운영, 농업인 및 /소비자교육 운영 지원(농업인 및 소비자 교육: 여성 농업인리더십아카데미과정,/마을권역 리더과정, 열린강좌, 농식품소비정책의이해과정, 농촌체험휴양마을협의체/리더과정,색깔있는마을리더 과정)",농식품공무원교육원,공무원과 농업인·소비자 리더 등
2015,농림축산식품부,농지과,1· 농지이용 및 관리과정/2· (신규)환매 활성화과정,  농지은행 지원자의 농지이용 및 관리능력 함양으로 농업·농촌 경쟁력 제고,한국농어촌공사 인재개발원,농지은행 지원자
2015,농림축산식품부,수출진흥과,수출전문인력육성,"①수출전문가 육성 교육 : 농식품 관련 수출업체 및 생산자에 수출전문교육 지원을 /   통해 수출전문가 집중 양성(무역실무, 국가별·품목별 검역, 통관교육, 바이어 상담/   요령, 경영관리 기법 등)/②해외전문가초청 컨설팅 : 생산농가에 해외 선진 농업기술 보급 및 재배상의 /   애로사항 해소 지원으로 선진농업기술 조기 정착 실현(재배기술, 병해충 등 /   애로사항 해소 지원)","미정(7월 선정 예정), /해외컨설팅 기술지원단",① 수출전문가육성 교육/  : 농식품 수출업체 및 수출농가/② 해외전문가초청 컨설팅/  : 정부지정 최우수·우수 원예전문 /   생산단지
2015,농림축산식품부,식품산업정책과,"교육프로그램운영(청년/여성 일자리/창출을 위한 신직업/창업 연계 교육, /대학생·수출형 중소기업 연수/프로그램)",  식품산업 교육인프라 구축 및 창업교육을 통해 미래 유망직업 발굴 및 청년·여성 /일자리창출,"농림수산식품교육문화정보원, /식품산업협회 등","대학(원)생, 교육희망여성"
2015,농림축산식품부,외식산업진흥과,1· 전문인력 양성_국내교육/2· 전문인력 양성_해외교육,"  한식세계화를 위한 인프라구축, 인력양성, 경쟁력 강화, 국내외 홍보","1· 특성화 대학교, 단기교육 운영기관/2· 해외한식당, 해외호텔 및 대학","1· 국내 한식교육/  : 특성화 대학생, 조리학과 출신, 조리/   분야 유경험자, 현직조리사 등 /2· 해외 한식교육/  : 해외한식당 경영주, 조리사, 해외 호텔/   셰프, 해외요리학교 학생 등"
2015,농림축산식품부,유통정책과,1· 일반 교육/2· 전문 교육/3· 산지조직 현장교육/4· (신규)직거래교육,"  농식품분야 정부정책의 신속한 산업현장 확산을 통한 정책목적 달성도를 제고하기 /위해 농식품산업 유통종사자를 대상하는 유통전문교육으로 유통개선 및 수출·식품/산업 선도 전문 인력 양성목적 교육사업/1· 일반교육 : 농식품 유통종사자 대상, 유통정책 및 유통 현장실무지식 교육/2· 전문교육 : 장기교육(6개월~1년)을 통해 농식품 유통 경영인·전문가 양성/3· 산지조직 현장교육 : 산지조직별 사업진단, 맞춤 현장교육을 통해 산지조직 경쟁력 /   강화/4· 직거래교육 : 농산물직거래 활성화 촉진을 위한 유통종사자 교육",한국농수산식품유통공사,"1· 일반교육: 산지조직, 도매시장, /   유통업체 종사자, 농업인·농업공무원 등/2· 전문교육: 산지조직, 도매시장 및 /   농식품 유통업체 사업자(CEO) 중심/3· 산지조직 현장교육: 농식품부 산지 유통 /   활성화사업 대상조직 중 신청 사업장/4· 직거래교육: 직거래장터 개설준비자 및 /   운영주체"
2015,농림축산식품부,종자생명산업과,도시농업교육·인력양성,"  도시농업 활성화를 위한 인프라 구축(박람회개최, 인력양성 등)","(2014년 기준)/도시농업조경진흥협회, 텃밭보급소, /인천도시농업네트워크, /부산도시농업네트워크, /미래창조평생교육원",교육희망자
2015,농림축산식품부,축산정책과,지속성장 기반 구축 분야/ _인공수정 기술보급_생산자 교육,  말산업을 농가의 새로운 소득원으로 육성하여 농어촌 경제 활성화 도모,KRA 한국마사회 장수육성목장,"지역별 핵심 기술인력/(수의사, 인공수정사)"
2015,농촌진흥청,역량개발과,1· 농기계교육/2· 교육용 농기계 지원,  농기계의 효율적 이용 및 정비기술 교육,"농촌진흥청, 도농업기술원, /시군농업기술센터",농업인
